pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,swaps
2,114,76,306,001001100,100110010,0
2,115,76,307,001001100,100110011,0
2,116,76,309,001001100,100110101,0
2,117,76,311,001001100,100110111,0
2,118,76,314,001001100,100111010,0
2,119,76,315,001001100,100111011,0
2,120,76,317,001001100,100111101,0
2,121,76,319,001001100,100111111,0
2,122,76,330,001001100,101001010,0
2,123,76,332,001001100,101001100,0
2,124,76,334,001001100,101001110,0
2,125,76,338,001001100,101010010,0
2,126,76,339,001001100,101010011,0
2,127,76,340,001001100,101010100,0
2,128,76,341,001001100,101010101,0
2,129,76,342,001001100,101010110,0
2,130,76,343,001001100,101010111,0
2,131,76,346,001001100,101011010,0
2,132,76,348,001001100,101011100,0
2,133,76,350,001001100,101011110,0
2,134,76,354,001001100,101100010,0
2,135,76,355,001001100,101100011,0
2,136,76,357,001001100,101100101,0
2,137,76,359,001001100,101100111,0
2,138,76,362,001001100,101101010,0
2,139,76,370,001001100,101110010,0
2,140,76,371,001001100,101110011,0
2,141,76,373,001001100,101110101,0
2,142,76,375,001001100,101110111,0
2,143,76,378,001001100,101111010,0
2,144,76,394,001001100,110001010,0
2,145,76,395,001001100,110001011,0
2,146,76,396,001001100,110001100,0
2,147,76,397,001001100,110001101,0
2,148,76,398,001001100,110001110,0
2,149,76,399,001001100,110001111,0
2,150,76,404,001001100,110010100,0
2,151,76,405,001001100,110010101,0
2,152,76,412,001001100,110011100,0
2,153,76,413,001001100,110011101,0
2,154,76,418,001001100,110100010,0
2,155,76,419,001001100,110100011,0
2,156,76,421,001001100,110100101,0
2,157,76,423,001001100,110100111,0
2,158,76,426,001001100,110101010,0
2,159,76,427,001001100,110101011,0
2,160,76,429,001001100,110101101,0
2,161,76,431,001001100,110101111,0
2,162,76,437,001001100,110110101,0
2,163,76,445,001001100,110111101,0
2,164,76,458,001001100,111001010,0
2,165,76,460,001001100,111001100,0
2,166,76,462,001001100,111001110,0
2,167,76,468,001001100,111010100,0
2,168,76,469,001001100,111010101,0
2,169,76,476,001001100,111011100,0
2,170,76,482,001001100,111100010,0
2,171,76,483,001001100,111100011,0
2,172,76,485,001001100,111100101,0
2,173,76,487,001001100,111100111,0
2,174,76,490,001001100,111101010,0
2,175,76,501,001001100,111110101,0
3,4,78,80,001001110,001010000,0
3,5,78,81,001001110,001010001,0
3,6,78,82,001001110,001010010,0
3,7,78,83,001001110,001010011,0
3,8,78,84,001001110,001010100,0
3,9,78,85,001001110,001010101,0
3,10,78,86,001001110,001010110,0
3,11,78,87,001001110,001010111,0
3,12,78,88,001001110,001011000,0
3,13,78,90,001001110,001011010,0
3,14,78,92,001001110,001011100,0
3,15,78,94,001001110,001011110,0
3,16,78,96,001001110,001100000,0
3,17,78,97,001001110,001100001,0
3,18,78,98,001001110,001100010,0
3,19,78,99,001001110,001100011,0
3,20,78,101,001001110,001100101,0
3,21,78,103,001001110,001100111,0
3,22,78,104,001001110,001101000,0
3,23,78,106,001001110,001101010,0
3,24,78,112,001001110,001110000,0
3,25,78,113,001001110,001110001,0
3,26,78,114,001001110,001110010,0
3,27,78,115,001001110,001110011,0
3,28,78,117,001001110,001110101,0
3,29,78,119,001001110,001110111,0
3,30,78,120,001001110,001111000,0
3,31,78,122,001001110,001111010,0
3,32,78,136,001001110,010001000,0
3,33,78,137,001001110,010001001,0
3,34,78,138,001001110,010001010,0
3,35,78,139,001001110,010001011,0
3,36,78,140,001001110,010001100,0
3,37,78,141,001001110,010001101,0
3,38,78,142,001001110,010001110,0
3,39,78,143,001001110,010001111,0
3,40,78,144,001001110,010010000,0
3,41,78,145,001001110,010010001,0
3,42,78,148,001001110,010010100,0
3,43,78,149,001001110,010010101,0
3,44,78,152,001001110,010011000,0
3,45,78,153,001001110,010011001,0
3,46,78,156,001001110,010011100,0
3,47,78,157,001001110,010011101,0
3,48,78,160,001001110,010100000,0
3,49,78,161,001001110,010100001,0
3,50,78,162,001001110,010100010,0
3,51,78,163,001001110,010100011,0
3,52,78,165,001001110,010100101,0
3,53,78,167,001001110,010100111,0
3,54,78,168,001001110,010101000,0
3,55,78,169,001001110,010101001,0
3,56,78,170,001001110,010101010,0
3,57,78,171,001001110,010101011,0
3,58,78,173,001001110,010101101,0
3,59,78,175,001001110,010101111,0
3,60,78,176,001001110,010110000,0
3,61,78,177,001001110,010110001,0
3,62,78,181,001001110,010110101,0
3,63,78,184,001001110,010111000,0
3,64,78,185,001001110,010111001,0
3,65,78,189,001001110,010111101,0
3,66,78,200,001001110,011001000,0
3,67,78,202,001001110,011001010,0
3,68,78,204,001001110,011001100,0
3,69,78,206,001001110,011001110,0
3,70,78,208,001001110,011010000,0
3,71,78,209,001001110,011010001,0
3,72,78,212,001001110,011010100,0
3,73,78,213,001001110,011010101,0
3,74,78,216,001001110,011011000,0
3,75,78,220,001001110,011011100,0
3,76,78,224,001001110,011100000,0
3,77,78,225,001001110,011100001,0
3,78,78,226,001001110,011100010,0
3,79,78,227,001001110,011100011,0
3,80,78,229,001001110,011100101,0
3,81,78,231,001001110,011100111,0
3,82,78,232,001001110,011101000,0
3,83,78,234,001001110,011101010,0
3,84,78,240,001001110,011110000,0
3,85,78,241,001001110,011110001,0
3,86,78,245,001001110,011110101,0
3,87,78,248,001001110,011111000,0
3,88,78,266,001001110,100001010,0
3,89,78,267,001001110,100001011,0
3,90,78,268,001001110,100001100,0
3,91,78,269,001001110,100001101,0
3,92,78,270,001001110,100001110,0
3,93,78,271,001001110,100001111,0
3,94,78,274,001001110,100010010,0
3,95,78,275,001001110,100010011,0
3,96,78,276,001001110,100010100,0
3,97,78,277,001001110,100010101,0
3,98,78,278,001001110,100010110,0
3,99,78,279,001001110,100010111,0
3,100,78,282,001001110,100011010,0
3,101,78,283,001001110,100011011,0
3,102,78,284,001001110,100011100,0
3,103,78,285,001001110,100011101,0
3,104,78,286,001001110,100011110,0
3,105,78,287,001001110,100011111,0
3,106,78,290,001001110,100100010,0
3,107,78,291,001001110,100100011,0
3,108,78,293,001001110,100100101,0
3,109,78,295,001001110,100100111,0
3,110,78,298,001001110,100101010,0
3,111,78,299,001001110,100101011,0
3,112,78,301,001001110,100101101,0
3,113,78,303,001001110,100101111,0
3,114,78,306,001001110,100110010,0
3,115,78,307,001001110,100110011,0
3,116,78,309,001001110,100110101,0
3,117,78,311,001001110,100110111,0
3,118,78,314,001001110,100111010,0
3,119,78,315,001001110,100111011,0
3,120,78,317,001001110,100111101,0
3,121,78,319,001001110,100111111,0
3,122,78,330,001001110,101001010,0
3,123,78,332,001001110,101001100,0
3,124,78,334,001001110,101001110,0
3,125,78,338,001001110,101010010,0
3,126,78,339,001001110,101010011,0
3,127,78,340,001001110,101010100,0
3,128,78,341,001001110,101010101,0
3,129,78,342,001001110,101010110,0
3,130,78,343,001001110,101010111,0
3,131,78,346,001001110,101011010,0
3,132,78,348,001001110,101011100,0
3,133,78,350,001001110,101011110,0
3,134,78,354,001001110,101100010,0
3,135,78,355,001001110,101100011,0
3,136,78,357,001001110,101100101,0
3,137,78,359,001001110,101100111,0
3,138,78,362,001001110,101101010,0
3,139,78,370,001001110,101110010,0
3,140,78,371,001001110,101110011,0
3,141,78,373,001001110,101110101,0
3,142,78,375,001001110,101110111,0
3,143,78,378,001001110,101111010,0
3,144,78,394,001001110,110001010,0
3,145,78,395,001001110,110001011,0
3,146,78,396,001001110,110001100,0
3,147,78,397,001001110,110001101,0
3,148,78,398,001001110,110001110,0
3,149,78,399,001001110,110001111,0
3,150,78,404,001001110,110010100,0
3,151,78,405,001001110,110010101,0
3,152,78,412,001001110,110011100,0
3,153,78,413,001001110,110011101,0
3,154,78,418,001001110,110100010,0
3,155,78,419,001001110,110100011,0
3,156,78,421,001001110,110100101,0
3,157,78,423,001001110,110100111,0
3,158,78,426,001001110,110101010,0
3,159,78,427,001001110,110101011,0
3,160,78,429,001001110,110101101,0
3,161,78,431,001001110,110101111,0
3,162,78,437,001001110,110110101,0
3,163,78,445,001001110,110111101,0
3,164,78,458,001001110,111001010,0
3,165,78,460,001001110,111001100,0
3,166,78,462,001001110,111001110,0
3,167,78,468,001001110,111010100,0
3,168,78,469,001001110,111010101,0
3,169,78,476,001001110,111011100,0
3,170,78,482,001001110,111100010,0
3,171,78,483,001001110,111100011,0
3,172,78,485,001001110,111100101,0
3,173,78,487,001001110,111100111,0
3,174,78,490,001001110,111101010,0
3,175,78,501,001001110,111110101,0
4,5,80,81,001010000,001010001,0
4,6,80,82,001010000,001010010,0
4,7,80,83,001010000,001010011,0
4,8,80,84,001010000,001010100,0
4,9,80,85,001010000,001010101,0
4,10,80,86,001010000,001010110,0
4,11,80,87,001010000,001010111,0
4,12,80,88,001010000,001011000,0
4,13,80,90,001010000,001011010,0
4,14,80,92,001010000,001011100,0
4,15,80,94,001010000,001011110,0
4,16,80,96,001010000,001100000,0
4,17,80,97,001010000,001100001,0
4,18,80,98,001010000,001100010,0
4,19,80,99,001010000,001100011,0
4,20,80,101,001010000,001100101,0
4,21,80,103,001010000,001100111,0
4,22,80,104,001010000,001101000,0
4,23,80,106,001010000,001101010,0
4,24,80,112,001010000,001110000,0
4,25,80,113,001010000,001110001,0
4,26,80,114,001010000,001110010,0
4,27,80,115,001010000,001110011,0
4,28,80,117,001010000,001110101,0
4,29,80,119,001010000,001110111,0
4,30,80,120,001010000,001111000,0
4,31,80,122,001010000,001111010,0
4,32,80,136,001010000,010001000,0
4,33,80,137,001010000,010001001,0
4,34,80,138,001010000,010001010,0
4,35,80,139,001010000,010001011,0
4,36,80,140,001010000,010001100,0
4,37,80,141,001010000,010001101,0
4,38,80,142,001010000,010001110,0
4,39,80,143,001010000,010001111,0
4,40,80,144,001010000,010010000,0
4,41,80,145,001010000,010010001,0
4,42,80,148,001010000,010010100,0
4,43,80,149,001010000,010010101,0
4,44,80,152,001010000,010011000,0
4,45,80,153,001010000,010011001,0
4,46,80,156,001010000,010011100,0
4,47,80,157,001010000,010011101,0
4,48,80,160,001010000,010100000,0
4,49,80,161,001010000,010100001,0
4,50,80,162,001010000,010100010,0
4,51,80,163,001010000,010100011,0
4,52,80,165,001010000,010100101,0
4,53,80,167,001010000,010100111,0
4,54,80,168,001010000,010101000,0
4,55,80,169,001010000,010101001,0
4,56,80,170,001010000,010101010,0
4,57,80,171,001010000,010101011,0
4,58,80,173,001010000,010101101,0
4,59,80,175,001010000,010101111,0
4,60,80,176,001010000,010110000,0
4,61,80,177,001010000,010110001,0
4,62,80,181,001010000,010110101,0
4,63,80,184,001010000,010111000,0
4,64,80,185,001010000,010111001,0
4,65,80,189,001010000,010111101,0
4,66,80,200,001010000,011001000,0
4,67,80,202,001010000,011001010,0
4,68,80,204,001010000,011001100,0
4,69,80,206,001010000,011001110,0
4,70,80,208,001010000,011010000,0
4,71,80,209,001010000,011010001,0
4,72,80,212,001010000,011010100,0
4,73,80,213,001010000,011010101,0
4,74,80,216,001010000,011011000,0
4,75,80,220,001010000,011011100,0
4,76,80,224,001010000,011100000,0
4,77,80,225,001010000,011100001,0
4,78,80,226,001010000,011100010,0
